,artist,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
Britney_Spears,Britney Spears,19,Britney_Spears,72.21052631578948,0.709421052631579,0.7343684210526317,0.0014549905263157895,0.15297368421052635,0.07048421052631577,-5.632842105263158,114.82542105263158,0.6738947368421053
blink-182,blink-182,2,blink-182,79.0,0.4285,0.8055,3.14e-06,0.34875,0.0469,-6.6065000000000005,129.3715,0.6385000000000001
Faith_Hill,Faith Hill,2,Faith_Hill,63.5,0.5780000000000001,0.606,0.0,0.1427,0.032100000000000004,-8.091,119.4245,0.506
Bon_Jovi,Bon Jovi,1,Bon_Jovi,82.0,0.551,0.913,1.35e-05,0.347,0.0466,-4.063,119.992,0.544
*NSYNC,*NSYNC,6,*NSYNC,66.16666666666667,0.633,0.6985,0.00020267833333333332,0.08541666666666665,0.055799999999999995,-5.977833333333333,146.24749999999997,0.6773333333333335
Sisqo,Sisqo,2,Sisqo,69.0,0.726,0.6655,4.82e-05,0.10500000000000001,0.07125000000000001,-7.326,120.43,0.493
Eminem,Eminem,26,Eminem,77.88461538461539,0.7476153846153846,0.7835000000000001,3.306307692307692e-05,0.19696923076923073,0.2248269230769231,-3.9375,119.97042307692308,0.5613923076923077
Robbie_Williams,Robbie Williams,6,Robbie_Williams,64.5,0.5984999999999999,0.646,3.4505e-05,0.14178333333333334,0.032966666666666665,-6.841666666666668,114.83016666666667,0.6133333333333333
Destiny's_Child,Destiny's Child,10,Destiny's_Child,67.5,0.7162,0.696,0.022057848999999997,0.19239,0.19824,-4.795999999999999,109.87379999999999,0.6996
Coldplay,Coldplay,19,Coldplay,81.84210526315789,0.4980526315789473,0.6527894736842106,0.03734395263157895,0.16827368421052635,0.03343157894736842,-6.862157894736842,121.6994736842105,0.2917894736842105
Linkin_Park,Linkin Park,11,Linkin_Park,79.63636363636364,0.5629090909090909,0.8437272727272727,0.0009728763636363637,0.25700000000000006,0.06219999999999999,-4.861727272727273,114.60863636363638,0.44373636363636365
Red_Hot_Chili_Peppers,Red Hot Chili Peppers,6,Red_Hot_Chili_Peppers,80.5,0.5321666666666668,0.8750000000000001,0.0029463483333333333,0.17793333333333336,0.05543333333333334,-3.700333333333333,107.37016666666666,0.5818333333333333
3_Doors_Down,3 Doors Down,5,3_Doors_Down,72.4,0.5302,0.7605999999999999,4.868e-06,0.1422,0.03358,-5.795400000000001,123.021,0.353
Dr._Dre,Dr. Dre,4,Dr._Dre,77.0,0.739,0.8672500000000001,0.0,0.1819,0.24635,-2.705,138.66400000000002,0.4295
Snoop_Dogg,Snoop Dogg,11,Snoop_Dogg,71.36363636363636,0.824,0.7078181818181819,0.00013568090909090908,0.12655454545454548,0.15030000000000002,-5.011272727272727,113.31854545454547,0.59
Wheatus,Wheatus,1,Wheatus,80.0,0.625,0.85,0.000233,0.174,0.0495,-3.904,94.661,0.633
