,genre,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
dance_pop,dance pop,657,dance_pop,70.31963470319634,0.6999269406392694,0.7203987823439879,0.010812319923896498,0.17819467275494674,0.09862024353120243,-5.317409436834095,118.12849162861491,0.5972788432267884
pop,pop,1048,pop,73.94656488549619,0.6604122137404581,0.6883553435114503,0.00979312572519084,0.16988072519083966,0.08791202290076336,-5.604814885496182,119.87255820610687,0.5299243320610687
alternative_metal,alternative metal,76,alternative_metal,73.53947368421052,0.5215789473684209,0.8244605263157896,0.004594347368421054,0.19627500000000003,0.05052368421052631,-5.041421052631579,125.09173684210523,0.4897342105263159
modern_rock,modern rock,145,modern_rock,76.51724137931035,0.5474689655172414,0.7590413793103449,0.020961245586206895,0.18501034482758622,0.060381379310344825,-5.482641379310344,123.76428275862067,0.5094620689655174
pop_punk,pop punk,34,pop_punk,71.73529411764706,0.5476470588235294,0.8192058823529412,7.013617647058823e-05,0.20668235294117646,0.06666470588235293,-4.601852941176471,130.3170294117647,0.5697058823529413
punk,punk,11,punk,78.36363636363636,0.4715454545454545,0.7988181818181818,1.0389090909090909e-05,0.21078181818181818,0.05508181818181817,-5.097545454545455,151.12354545454548,0.6151818181818182
rock,rock,138,rock,76.3623188405797,0.5586304347826088,0.7830942028985508,0.021857158913043476,0.1940195652173913,0.06574927536231884,-5.26054347826087,124.65665942028984,0.5372304347826087
socal_pop_punk,socal pop punk,3,socal_pop_punk,80.66666666666667,0.46900000000000003,0.8426666666666667,2.0933333333333333e-06,0.2981666666666667,0.05253333333333333,-5.457333333333334,128.286,0.626
contemporary_country,contemporary country,37,contemporary_country,70.37837837837837,0.580864864864865,0.6655405405405407,1.1136756756756756e-05,0.1534891891891892,0.041924324324324316,-5.789891891891893,128.83905405405406,0.5235135135135136
country,country,38,country,69.42105263157895,0.5754210526315788,0.6621315789473684,1.0556842105263158e-05,0.1604131578947368,0.03998421052631579,-5.837763157894736,129.1721052631579,0.545842105263158
