,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,artists_popularity,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists_popularity_highest,genre_list
0,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,81.0,2020-08-07T08:16:37Z,2000,Oops!...I Did It Again,2000-05-16,"dance pop,pop",Britney Spears,13346336,211160.0,0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,13346336,"['dance pop', 'pop']"
1,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,84.0,2020-08-07T08:16:37Z,2000,All The Small Things,1999-06-01,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk",blink-182,7944929,167066.0,0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,7944929,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
2,3y4LxiYMgDl4RethdzpmNe,Breathe,68.0,2020-08-07T08:16:37Z,2000,Breathe,1999-11-09,"contemporary country,country,country dawn,country road",Faith Hill,1799660,250546.0,0.529,0.496,-9.007,0.029,0.173,0.0,0.251,0.278,136.859,1799660,"['contemporary country', 'country', 'country dawn', 'country road']"
3,0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,82.0,2020-08-07T08:16:37Z,2000,It's My Life,2000-01-01,"glam metal,rock",Bon Jovi,12899936,224493.0,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,12899936,"['glam metal', 'rock']"
4,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,74.0,2020-08-07T08:16:37Z,2000,Bye Bye Bye,2000-03-21,"boy band,dance pop,pop",*NSYNC,2184902,200400.0,0.61,0.926,-4.843,0.0479,0.031,0.0012,0.0821,0.861,172.638,2184902,"['boy band', 'dance pop', 'pop']"
5,5Mmk2ii6laakqfeCT7OnVD,Thong Song,72.0,2020-08-07T08:16:37Z,2000,Thong Song,1999-11-30,"contemporary r&b,dirty south rap,hip pop,r&b,urban contemporary",Sisqo,961181,253733.0,0.706,0.888,-6.959,0.0654,0.119,9.64e-05,0.07,0.714,121.549,961181,"['contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'urban contemporary']"
6,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,88.0,2020-08-07T08:16:37Z,2000,The Real Slim Shady,2000-05-23,"detroit hip hop,hip hop,rap",Eminem,79014892,284200.0,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,79014892,"['detroit hip hop', 'hip hop', 'rap']"
7,7oQSevUCbYs4QawXTHQVV1,Rock DJ,59.0,2020-08-07T08:16:37Z,2000,Rock DJ,2013-01-01,"dance rock,europop",Robbie Williams,2802761,260560.0,0.712,0.762,-4.307,0.0326,0.026,0.0,0.0981,0.842,103.032,2802761,"['dance rock', 'europop']"
8,7H6ev70Weq6DdpZyyTmUXk,Say My Name,80.0,2020-08-07T08:16:37Z,2000,Say My Name,1999-07-27,"dance pop,girl group,pop,r&b,urban contemporary",Destiny's Child,6844313,271333.0,0.713,0.678,-3.525,0.102,0.273,0.0,0.149,0.734,138.009,6844313,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']"
9,3AJwUDP919kvQ9QcozQPxg,Yellow,91.0,2020-08-07T08:16:37Z,2000,Yellow,2000-07-10,"permanent wave,pop",Coldplay,48429785,266773.0,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,48429785,"['permanent wave', 'pop']"
10,60a0Rd6pjrkxjPbaKzXjfq,In the End,89.0,2020-08-07T08:16:37Z,2000,In the End,2000-10-24,"alternative metal,nu metal,post-grunge,rap metal,rock",Linkin Park,24842759,216880.0,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,24842759,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
11,64BbK9SFKH2jk86U3dGj2P,Otherside,85.0,2020-08-07T08:16:37Z,2000,Otherside,1999-06-08,"alternative rock,funk metal,funk rock,permanent wave,rock",Red Hot Chili Peppers,20372385,255373.0,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,20372385,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
12,6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,82.0,2020-08-07T08:16:37Z,2000,Kryptonite,2000,"alternative metal,nu metal,post-grunge,rock",3 Doors Down,4266262,233933.0,0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4266262,"['alternative metal', 'nu metal', 'post-grunge', 'rock']"
13,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,82.0,2020-08-07T08:16:37Z,2000,The Next Episode,1999-11-16,"g funk,gangster rap,hip hop,rap,west coast rap,g funk,gangster rap,hip hop,pop rap,rap,west coast rap","Dr. Dre,Snoop Dogg","10838704,10648459",161506.0,0.922,0.909,-2.429,0.27,0.0281,0.0,0.0856,0.309,95.295,10838704,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
