Track Name,Artist Name,Genres,country
Seven (feat. Latto) (Explicit Ver.),Jung Kook,k-pop,Bangladesh
Kahani Suno 2.0,Kaifi Khalil,"balochi pop, pakistani pop",Bangladesh
Choo Lo,The Local Train,"hindi indie, indian indie, indian rock, new delhi indie",Bangladesh
Iraaday,Rovalio,"pakistani electronic, pakistani pop",Bangladesh
Maan Meri Jaan,King,"desi pop, hindi hip hop",Bangladesh
Beni Khuley,Muza,"classic bangla pop, desi pop",Bangladesh
Kesariya,Pritam,"filmi, indian instrumental, modern bollywood",Bangladesh
Mayabee,Blue Touch,,Bangladesh
Jhumka,Muza,"classic bangla pop, desi pop",Bangladesh
Dube Dube,Tanjib Sarowar,classic bangla pop,Bangladesh
Purnota,Warfaze,"bangladeshi rock, south asian metal",Bangladesh
Starboy,The Weeknd,"canadian contemporary r&b, canadian pop, pop",Bangladesh
Moho,Aftermath,bangladeshi rock,Bangladesh
Baarishein,Anuv Jain,"desi pop, hindi indie, indian indie, indian singer-songwriter",Bangladesh
Ghum (Official),Odd Signature,bangladeshi indie,Bangladesh
Like Crazy,Jimin,k-pop,Bangladesh
Tu Aake Dekhle,King,"desi pop, hindi hip hop",Bangladesh
Karone Okarone,Minar Rahman,"bangla pop, classic bangla pop",Bangladesh
Srotoshinni,Encore,bangladeshi rock,Bangladesh
Pasoori,Shae Gill,pakistani pop,Bangladesh
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,"filmi, hare krishna, modern bollywood",Bangladesh
Kodom,Blue Jeans,bangladeshi rock,Bangladesh
Chaleya,Anirudh Ravichander,"desi hip hop, filmi, tamil hip hop",Bangladesh
Chaand Baaliyan,Aditya A,"desi pop, hindi indie",Bangladesh
Avijog,Tanveer Evan,bangla pop,Bangladesh
60's Love,Level Five,bangladeshi indie,Bangladesh
Gul,Anuv Jain,"desi pop, hindi indie, indian indie, indian singer-songwriter",Bangladesh
Ami Akash Pathabo,AvoidRafa,bangladeshi rock,Bangladesh
Amar Dehokhan (Official),Odd Signature,bangladeshi indie,Bangladesh
I Wanna Be Yours,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",Bangladesh
Love Me Again,V,"j-division, korean ost",Bangladesh
Ei Obelay,Shironamhin,bangladeshi rock,Bangladesh
"Oviman - From "" Best friend 3""",Tanveer Evan,bangla pop,Bangladesh
Bikhra,Abdul Hannan,"pakistani indie, pakistani pop, urdu hip hop",Bangladesh
Dandelions,Ruth B.,"alt z, canadian contemporary r&b, canadian pop, pop",Bangladesh
Slow Dancing,V,"j-division, korean ost",Bangladesh
Shayad,Pritam,"filmi, indian instrumental, modern bollywood",Bangladesh
Obosthan,HIGHWAY,bangladeshi indie,Bangladesh
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,rap,Bangladesh
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"filmi, modern bollywood",Bangladesh
Alag Aasmaan,Anuv Jain,"desi pop, hindi indie, indian indie, indian singer-songwriter",Bangladesh
E Hawa,Meghdol,"bangladeshi indie, bangladeshi rock",Bangladesh
Deora,Pritom Hasan,"bangladeshi hip hop, classic bangla pop",Bangladesh
Heeriye (feat. Arijit Singh),Jasleen Royal,"desi pop, filmi, indian singer-songwriter, modern bollywood",Bangladesh
